Brand,Name,Size,Price,Availible,Page,Link
Chrome Hearts,Christmas CH Matty Boy Set Hoodie & Pants,Size: S/M (30-34),"$1,000.00",True,1.0,https://ypcollective.com/products/ch-matty-boy-christmas-hoodie
Chrome Hearts,22k Pink Sapphire CH Tiny Plus Bracelet,N/A,N/A,True,1.0,https://ypcollective.com/products/ch-tiny-plus-gold-pink-sapphire-bracelet
Chrome Hearts,1/1 Multi Color Cross Patch Pillow,N/A,"$14,000.00",True,1.0,https://ypcollective.com/products/multi-color-cross-patch-pillow
Chrome Hearts,CH Leather Dog Doll,N/A,"$4,600.00",True,1.0,https://ypcollective.com/products/ch-dog-doll-plush-toy
Chrome Hearts,Multi Color Cross Patch Mini Taka,N/A,"$19,200.00",True,1.0,https://ypcollective.com/products/multi-color-cross-patch-taka-bag
Chrome Hearts,Star Patch Cashmere Balaclava Mask,N/A,"$5,000.00",True,1.0,https://ypcollective.com/products/mask
Chrome Hearts,Matty Boy Chomper 99eyes Flame Pin,N/A,$160.00,True,1.0,https://ypcollective.com/products/matty-boy-stay-fast-pin-copy
Chrome Hearts,CH Mikimoto Pearl CH Plus Earrings Set,N/A,N/A,True,1.0,https://ypcollective.com/products/ch-x-mikimoto-white-gold-pearl-earrings
Chrome Hearts,Matty Boy Sex Records Car Pin,N/A,$150.00,True,1.0,https://ypcollective.com/products/matty-boy-sex-records-buick-pin-copy
Chrome Hearts,Matty Boy Sex Records Pin,N/A,$180.00,True,1.0,https://ypcollective.com/products/sex-records-pin-copy
Chrome Hearts,Black Teddy Bear Plush W/ Dagger Necklace,N/A,"$2,950.00",True,1.0,https://ypcollective.com/products/black-teddy-bear-w-dagger-necklace
Chrome Hearts,Cutout Plus Wallet Chain,N/A,"$6,450.00",True,1.0,https://ypcollective.com/products/cutout-plus-wallet-chain-2
Chrome Hearts,St. Barth Exclusive Pullover Hoodie,Size: L / XL,"$1,280.00",True,1.0,https://ypcollective.com/products/st-barth-exclusive-pullover-hoodie
Chrome Hearts,Red Cross Patch Cemetery Belt,N/A,N/A,True,1.0,https://ypcollective.com/products/red-cross-patch-cemetery-belt
Chrome Hearts,Cashmere 'Hit & Run' Zebra Cross Patch Cardigan,Size: M,"$4,500.00",True,1.0,https://ypcollective.com/products/cashmere-hit-run-zebra-cross-patch-cardigan
Chrome Hearts,Beast III Ebony Wood Sunglasses,N/A,"$2,280.00",True,1.0,https://ypcollective.com/products/beast-iii-sunglasses
Chrome Hearts,Braided Leather Belt Strap,N/A,N/A,True,1.0,https://ypcollective.com/products/black-belt
Chrome Hearts,RS3 Triple Cross Denim Hat,Size: OS,$525.00,True,1.0,https://ypcollective.com/products/rs3-triple-cross-baseball-cap
Chrome Hearts,CH Mikimoto Pearl Baby Fat Charm Bracelet,N/A,N/A,True,1.0,https://ypcollective.com/products/ch-x-mikimoto-white-gold-pearl-bracelet
Chrome Hearts,Floral Square Buckle Belt,Size: 36,"$1,495.00",True,1.0,https://ypcollective.com/products/leather-scroll-buckle-belt
Chrome Hearts,CH Trydixagain Titanium Glasses,N/A,"$1,400.00",True,1.0,https://ypcollective.com/products/ch-trydixagain-red-frame-glasses-copy
Chrome Hearts,CH Gittin' Any? Glasses,N/A,N/A,True,1.0,https://ypcollective.com/products/ch-gold-gittin-any-copy
